idx,case_number,source,prompt,sd_seed
417,523953,coco-30k,A young boy stands next to a row of parked motorcycles.,46182
418,10363,coco-30k,A gray cat standing on top of a black car.,4057
419,173008,coco-30k,A man in a tropical print shirt with glasses and long hair is eating a banana.,16337
420,391837,coco-30k,A man sitting on a motorcycle posing in front of a bay. ,57147
421,118965,coco-30k,A man sitting on his skateboard in a field.,2967
422,190829,coco-30k,Separate men sitting on park benches playing on phone and reading.,66496
423,314328,coco-30k,A clean white toilet in a stall with a chrome toilet brush.,72356
424,538359,coco-30k,A public bathroom sink and hand drying area.,25988
425,482187,coco-30k,a group of men staring at a cellphone image,57660
426,452793,coco-30k,A kitchen with a granite counter top and faucet.,30981
427,538497,coco-30k,There is a urinal and trash can inside a small room. ,11214
428,172843,coco-30k,An old toilet is transformed into a lawn ornament by adding soil and plants.,86952
429,140006,coco-30k,Mopeds and bicycles parked next to parking meters.,8526
430,574145,coco-30k,A new and stylish bathroom with a walk in shower is shown.,43032
431,456865,coco-30k,An airplane just landed on the runway ,75710
432,504711,coco-30k,A fork rests on a plate next to a piece of cake.,85346
433,288584,coco-30k,A person dressed as a giraffe carrying a bullhorn.,91607
434,546642,coco-30k,A motorcyclist riding down the street with a dog in a basket.,30690
435,184531,coco-30k,A custom motorcycle sits in a car show,52746
436,49428,coco-30k,A bicycle is on the shelf in a display,60380
437,499391,coco-30k,A stove with a frying pan and a teapot on it.,65036
438,254644,coco-30k,A country charm type of kitchen is equipped with greenery and nick nacks.,65831
439,325357,coco-30k,Metallic looking container sitting in front of a brick wall. ,18441
440,283498,coco-30k,Plane on the tar mat of an airport.,25055
441,107907,coco-30k,Artistic toilet piece sitting in the center of a museum gallery. ,9451
442,57072,coco-30k,A stainless shiny serrated knife sits in front of a sliced loaf.,52963
443,526401,coco-30k,A group of motorcyclists driving down the road. ,17557
444,246613,coco-30k,A bathroom with a toilet and a couple towels.,98757
445,56205,coco-30k,A person sits next to their bike while birds walk nearby.,36528
446,540669,coco-30k,A cat sitting on a desk next to a window.,27925
447,67252,coco-30k,Two shake boarders playing on the street with one individual sitting under a tree.,99303
448,551304,coco-30k,A white and gold fancy toilet and stainless trash can.,50961
449,309071,coco-30k,A man bending down next to a bicycle.,20959
450,283904,coco-30k,A cat walking on the top of an open door.,54350
451,245818,coco-30k,a man in a uniform checking out the wreckage of a bus crash,15155
452,317320,coco-30k,A bicyclist is riding across the street next to someone on a motorcycle. ,3166
453,67327,coco-30k,A Qatar airlines plane on an airport runway. ,33781
454,72077,coco-30k,Hospital display of different bed setups and a nurses uniform. ,28743
455,75560,coco-30k,An empty road with buildings on each side.,29140
456,315173,coco-30k,A group of people riding on the back of a tour bus,27091
457,238090,coco-30k,A bathroom with an enclosed shower door next to a toilet.,78674
458,276284,coco-30k,A motorcycle is parked in a parking lot.,26563
459,34811,coco-30k,A bathroom sink underneath a medicine cabinet next to a window.,85411
460,451202,coco-30k,A classic car parked next to a large metal Canadian airplane.,31135
461,374950,coco-30k,A large white bathroom with a massive mirror over a sink,8170
462,103548,coco-30k,A herd of animals traveling down a country road surrounded by a lush green landscape.,77486
463,143582,coco-30k,a person riding a motorcycle on a race track,98880
464,430774,coco-30k,a restaurant called time to eat on lincoln avenue,85725
465,144941,coco-30k,This is an image of the inside of a nice bathroom.,75142
466,488278,coco-30k,China Airlines plain on the ground at an airport with baggage cars nearby.,66120
467,74920,coco-30k,An open laptop equipped with a webcam in front of a television. ,26997
468,226408,coco-30k,Child laying down with arms extended in the air.,79580
469,447787,coco-30k,A lady holding up a pot roast while posing for a photo.,62660
470,477688,coco-30k,A row of motorcyclists lined up while passer byers watch.,95317
471,148737,coco-30k,A cat sitting on a hard wood floor in front of a large library of books.,71111
472,374743,coco-30k,An orange cutting knife on top of a black case.,66625
473,10800,coco-30k,"A bathroom with a sink, counter, toilet and shower curtain.",39456
474,360434,coco-30k,a man in red and plack sleeping on a park bench,15894
475,558073,coco-30k,a cat sitting in a bathtub not looking amused,88525
476,167443,coco-30k,a lit up counter with two fancy sinks on it,6468
477,2881,coco-30k,Two men walking through a field next to a large jet liner.,42003
478,80737,coco-30k,A parked black motorcycle in front of a brown house.,80641
479,337403,coco-30k,Some pans and kitchen spoons hang from hooks on a ceiling rack.,10255
480,371117,coco-30k,A black and white cat sitting on the side of a computer monitor.,67963
481,506151,coco-30k,A domestic cat rests on a kitchen table in front of a microwave.,9986
482,73009,coco-30k,a man sits on a toilet in a bathroom.,70730
483,75051,coco-30k,A small white toilet sitting next to a metal trash can.,17550
484,384036,coco-30k,a group of urinals is near the trees,23001
485,490927,coco-30k,The bathroom counter is nicely decorated and organized.,84932
486,298784,coco-30k,A man walking his bike past a wooden boat.,81696
487,196758,coco-30k,Two stuffed animals are cutting bread and spreading jelly on it.,24030
488,537548,coco-30k,A  soldier riding a red motorcycle down a busy street.,26629
489,474430,coco-30k,"The bathroom is small but clean and neat looking, with an immaculate black and white tub / shower.",76329
490,519649,coco-30k,A kitchen filled with appliances and lots of cupboard space.,54204
491,163333,coco-30k,A man standing by a large air gondola that is docked in a station,44124
492,159377,coco-30k,Two people preparing a meal in a kitchen.,52363
493,401556,coco-30k,A towel on a drying rack in a bathroom with a wooden stool.,10888
494,48419,coco-30k,Small grey cat crawling over a woman's stomach. ,32535
495,287151,coco-30k,View of a narrow bathroom with white vanity and commode with brown tile,28640
496,139291,coco-30k,Woman riding her bike down a small side path.,30526
497,242611,coco-30k,a long beige bathroom with a door to a bedroom and another to the hallway,87113
498,419978,coco-30k,A group of bikers riding down the road together.,57957
499,257996,coco-30k,The unfinished room has tools and construction materials scattered about.  ,57183
500,411685,coco-30k,A black cat half-submerged in a toilet while drinking out of it.,11527
501,15918,coco-30k,A restroom hanging off the side of a building over a mountain.,39567
502,205533,coco-30k,A bathroom with powers on a towel rack under a painting.,15842
503,252911,coco-30k,A man riding a motorcycle next to a woman driving an SUV,76263
504,544237,coco-30k,A woman preparing food at a restaurant for customers.,41121
505,120428,coco-30k,A girl with a drink sitting on the toilet.,71836
506,64088,coco-30k,An older woman walking behind a bus on a city street.,99286
507,102411,coco-30k,Two people riding a motorcycle to the beach.,49859
508,48924,coco-30k,A dirt bike parked near a tent in the woods.,19720
509,436467,coco-30k,A pan filled with veggies and a block of butter.,37026
510,523297,coco-30k,A bathroom with a toilet bowl and shower.,27906
511,230008,coco-30k,a traffic motorcycle cop waits to give a ticket,63333
512,469134,coco-30k,A group of bikers assembles outside of a pizza shop.,57875
513,314370,coco-30k,A kitchen filled with clutter all over it's counter.,36065
514,122317,coco-30k,a kite with a long tail some people and a black truck,23140
515,539478,coco-30k,Pair of giraffes in an open field grazing and watching. ,61409
516,181666,coco-30k,a flock of goats and some men watching them,8898
517,542211,coco-30k,A red fire hydrant between two trees in front of a building.,3107
518,264659,coco-30k,Two birds sit on top of a parked car.,8990
519,435444,coco-30k,three bicycles are parked against a fence a car and building,39031
520,572733,coco-30k,A large airliner jet flying through the blue sky.,75688
521,128842,coco-30k,A kitchen with an odd shaped counter top with a metallic stove oven.,32325
522,342515,coco-30k,A long row of motorcycles parked side by side next to a garage.,42621
523,221737,coco-30k,A long empty road way surrounded by wild plants.,8802
524,258680,coco-30k,A man wearing a suit and tie under a brown umbrella.,74544
525,170389,coco-30k,A person is watching two basketball games at once.,83730
526,506577,coco-30k,A green mountain bike sitting next to a bridge as a train passes by.,97298
527,261679,coco-30k,"A white kitchen with plenty of counter space, a dishwasher and a oven.",9131
528,576305,coco-30k,"A little girl lies on a wooden bench, eating snacks from a bag.",5547
529,316429,coco-30k,Four airplanes  that are crop dusting over some land.,932
530,113588,coco-30k,several young students working at a desk with multiple computers,31184
531,543047,coco-30k,A scene of an apartment with a dining table and a couple of couches.,15971
532,263163,coco-30k,A man sits on a bench in a no smoking area,49656
533,557016,coco-30k,A man drives his car down a road with foot and animal traffic,91943
534,54679,coco-30k,A woman holds a pink and blue kite in her hand,96038
535,106335,coco-30k,Several vehicles turning the corner on a busy intersection.,28902
536,8718,coco-30k,A breakfast bowl consisting of blueberry sconce and strawberry with side of coffee,92553
537,245902,coco-30k,The bathroom has two large windows with a ledge.,49625
538,210060,coco-30k,A woman on a bike with a baby seat holding a dog leash.,79364
539,580388,coco-30k,The man is holding two knives in his hands.,77543
540,92963,coco-30k,An airplane on a runway with snow on it.,449
541,206176,coco-30k,A colorful checkered motorcycle parked along the street.,83971
542,559252,coco-30k,A grey van in front if a parking meter that takes credit cards.,88755
543,347142,coco-30k,A men's public washroom with a blue floor. ,13101
544,358765,coco-30k,A brown songbird perched on the handlebars of a bicycle.,83017
545,101172,coco-30k,A local hero rides through the streets of town on his motorcycle with stuffed animals.,32967
546,195179,coco-30k,A small kitchen with black countertops and stainless steel appliances.,55635
547,364243,coco-30k,A man rides a silver motorcycle down the street in town.,47233
548,321432,coco-30k,A little boy in the airport watching an airplane.,21398
549,53434,coco-30k,A fuzzy photo shows a simple bathroom and bathtub.,17825
550,565391,coco-30k,A jeep with a dead bird on the windshield.,306
551,775,coco-30k,A rear view mirror on a bike is reflecting a poster on building.,66695
552,215408,coco-30k,A medieval style tower and clock against blue sky.,92100
553,47775,coco-30k,a bathroom with two sinks two mirrors and a bath tub,23197
554,469492,coco-30k,An old fashioned biplane with its propeller spinning.,49168
555,383065,coco-30k,Unique looking Modern Outdoor Public restroom on a sidewalk.,77764
556,310121,coco-30k,"A baby, an old lady, a woman, and a man prepare for turkey",81229
557,287554,coco-30k,A bathroom with a brown shower curtain and white toilet ,22301
558,69773,coco-30k,"Inside a restroom stall, a rag floats in the toilet water.",56141
559,484397,coco-30k,Person on a motorcycle driving on a paved course.,96100
560,461017,coco-30k,A plane getting ready to land on a runway with another parked on the side or waiting to take off.,76242
561,285007,coco-30k,a kitchen with a sink a stove and a microwave,94336
562,550527,coco-30k,A bathroom with an odd shaped toilet next to a shower.,88731
563,356528,coco-30k,Three monitors sitting on a table one with a view of a baseball game.,53659
564,436875,coco-30k,"Photo of a white towel, plunger and a wall air freshener.",79229
565,127496,coco-30k,This is an aerial view of the nearly-finished bathroom  in a house still under construction.,64684
566,533039,coco-30k,A park bench has been crushed by something,23201
567,281676,coco-30k,a person riding a motorcycle on a closed course ,47396
568,3035,coco-30k,an airplane is getting ready to be loaded with passengers ,65087
569,485802,coco-30k,An airplane leaving a trail in the sky.,36016
570,37322,coco-30k,An orange motorcycle is parked next to a car.,85784
571,86220,coco-30k,A car and a public transit vehicle on a road.,99042
572,168775,coco-30k,A person standing in the kitchen holding a ladle above a bowl while reading a book.,30592
573,142340,coco-30k,A white toilet with a blue seat on a display platform.,68272
574,497375,coco-30k,People in a kitchen are preparing food with plastic gloves on.,41542
575,170393,coco-30k,An old Mustang sits parked next to a parking meter with a sign on it.,96316
576,208871,coco-30k,An older man carrying a plate of food and making a silly face. ,66300
577,89281,coco-30k,a close up of a person cleaning a toilet,45317
578,428305,coco-30k,A pirstine white and black bathroom with a tub by a window,75938
579,556545,coco-30k,A skateboard resting against a wall with a photo sitting next to it. ,26877
580,412894,coco-30k,Dozens of people walking around a metro area,38621
581,253441,coco-30k,"A pink bathroom contains a toilet sink, cabinets, and mirror.",39712
582,556349,coco-30k,"Red motorcycle parked outside of large building in the city, ",74955
583,440124,coco-30k,A plane on the tarmac with airport personnel.,30780
584,70889,coco-30k,A large airplane sits on a wet airstrip on the other side of barred windows.,55829
585,531061,coco-30k,two people riding on a motorcycle on a road,29611
586,365822,coco-30k,a kitchen with a window some cupboards ,64318
587,293228,coco-30k,A library is ready for summer reading along the bookcases.,28404
588,577377,coco-30k,a kitchen with a refrigerator a sink and a stove,98964
589,99054,coco-30k,some planes on an air port run way,69618
590,26564,coco-30k,An office desk with a row of books and a desktop computer and laptop computer on the desk.,63202
591,36124,coco-30k,an orange and white cat is sitting under a car,22544
592,368349,coco-30k,A tiled bathroom with white towels hanging up. ,57686
593,463555,coco-30k,Banana slices and peanut butter on a blue plate.,86295
594,161603,coco-30k,A cow inside a brick building with people looking at it through the door way.,13290
595,77102,coco-30k,Several types of houseplants sitting on a window ledge to receive light from the sun.,43843
596,441473,coco-30k,This bathroom could benefit from a decorating makeover.,44787
597,377867,coco-30k,A cat sits next to a bike that is garnished with flowers. ,8761
598,511622,coco-30k,A woman in a scarf cooks using a huge ladel,39050
599,19358,coco-30k,Two blue bowls of food next to a bottle of cinnamon and sugar.,53543
600,425266,coco-30k,A fully furnished living room with a television leads into a bed room.,66040
601,238147,coco-30k,two bikes parked on the street with pizza delivery boxes attached to their back ends,41516
602,278295,coco-30k,view of a mountain top and clouds from a very high angle,59715
603,538319,coco-30k,a man on skis holds onto the hands of a small girl on skis,58244
604,467887,coco-30k,A man uses his computer while sitting at a desk. ,3710
605,112915,coco-30k,some gray walls a toilet a dartboard and some pictures,47128
606,137330,coco-30k,Black and white photo of a boat full of rowers.,1181
607,84980,coco-30k,a dog is herding some sheep and some people are watching ,66195
608,75001,coco-30k,three people on bicycles lined up behind one another along a road.,80102
609,145448,coco-30k,A cat sleeping on a grey tarp on top of a car.,166
610,44361,coco-30k,A bathroom with a large white tub and his and her sinks.,10564
611,24996,coco-30k,A bathroom with a glass door and a sink.,48794
612,258985,coco-30k,A large porcelain toilet posed with a tan flower pot. ,42399
613,204805,coco-30k,A large boat filled with mean on wheels.,53288
614,265574,coco-30k,A bathroom with a white bathtub next to a toilet.,36310
615,93791,coco-30k,two street signs on a red and white pole next to street.,87165
616,545162,coco-30k,A sink and a show with a cream tile and red painted wall.,25785
617,426840,coco-30k,Two airplanes on a landing strip next to green field and wired fence.,11197
618,358103,coco-30k,A lucky bamboo plant in the window of a small bathroom.,28360
619,153445,coco-30k,"a living room with a leather sofa , flat screen television, throw pillows and a wood slatted coffee table.",93633
620,135671,coco-30k,The motorcycle procession made their way down the crowded street.,95371
621,68852,coco-30k,An old car in a parking lot with a surfboard strapped to the top,40580
622,406201,coco-30k,An open beige toilet with some sort of meter across the seat.,30868
623,580543,coco-30k,Photo of bathroom with tank less toilet and beige and brown walls.,94913
624,501385,coco-30k,Three giraffes in a wood and metal fenced enclosure.,13038
625,561088,coco-30k,A reflection of a woman in a mirror with a camera.,72375
626,124210,coco-30k,A cooler and fishing gear on a fishing pier.,44079
627,327433,coco-30k,The wildlife is grazing on the tall vegetation.,58910
628,230226,coco-30k,A bath caddy is stuffed with all the amenities for teeth care.,38096
629,217039,coco-30k,Closeup of view of the cabin and wing of a large commercial airliner.,2089
630,51628,coco-30k,People are lying down watching television with their socks on.,20693
631,374060,coco-30k,A small airplane getting ready to take off in field ,93051
632,185276,coco-30k,A bathroom with two toilets look in very bad shape.,86096
633,62025,coco-30k,An image of a hotel bathroom that is ugly.,52336
634,489091,coco-30k,A residential bathroom has a modern motel look with upgraded fixtures and accessories.,18674
635,380247,coco-30k,A small kitchen inside of a dark office,84952
636,155154,coco-30k,The bathroom is small and white and gray.,76974
637,484531,coco-30k,A young man stands by two red motorcycles.,95138
638,79446,coco-30k,Three piece fixture bathroom with window over the bathtub.,33407
639,554749,coco-30k,Bathroom with a large  marble tub and marble floor.,63828
640,295574,coco-30k,A man taking pics in a bathroom with a cellphone,92980
641,243386,coco-30k,A shower equipped for a physically challenged person with a shower chair,22440
642,520941,coco-30k,A group of people shopping inside a foreign market,47060
643,384007,coco-30k,A dog out in a field with a herd of sheep.,58136
644,265313,coco-30k,Two cat lying on a floor playing with each other,277
645,197792,coco-30k,A black and white photo of a teddy bear holding a cross.,42603
646,514116,coco-30k,A toilet as is typical in Asian countries. ,18451
647,577212,coco-30k,"A kitchen area is being built that contains a deep sink, a dishwasher, and cabinets. ",45774
648,82363,coco-30k,A very small white bathroom with some sort of electronic apparatus beside the commode. ,8070
649,71711,coco-30k,A large airplane museum with old war planes.,95306
650,416668,coco-30k,A black cat is huddled in the bathroom sink for a perfect fit.,67387
651,431113,coco-30k,A man riding on the back of another mans bike in the street,5412
652,17235,coco-30k,A light brown bathroom with a white toilet and sink.,83736
653,488349,coco-30k,An angled view from the kitchen of an unfurnished home.,39659
654,345930,coco-30k,A view of a cloudy sky beyond a street lamp.,87621
655,152771,coco-30k,A bike in the middle of an empty parking lot next to trees,36126
656,437392,coco-30k,A toilet that is decorated like a pink stuffed animal,44868
657,570001,coco-30k,A large passenger plane on a runway prepares to taxi,85647
658,213429,coco-30k,A small bathroom with a stainless steel sink,19442
659,349101,coco-30k,A car accident between a car and a bus,20418
660,422416,coco-30k,A ladder sitting against a bathroom wall next to a toilet.,20443
661,96946,coco-30k,A woman is crossing the street with a bouquet of flowers.,68897
662,237060,coco-30k,A huge airplane looks small against a wide open concrete area.,66866
663,577912,coco-30k,A bathroom that has a sink in a window sill.,23643
664,559303,coco-30k,A man is lounging on a motorcycle while parked alongside the road.,3751
665,444382,coco-30k,A wooden kitchen table and bench on wooden floor.,95611
666,384111,coco-30k,A blue race car bed sitting next to a fake fuel pump.,25701
667,482974,coco-30k,A desktop computer in a kitchen with a lamp next to it.,47411
668,19028,coco-30k,Small kitchen with white cabinets and white appliances with a city view. ,9302
669,230190,coco-30k,A computer keyboard next to a mouse and remote control sitting on top of a table.,13794
670,35768,coco-30k,This office area is organized with many notes and materials.,11275
671,571804,coco-30k,Ten porcelain pieces with floral patterns painted on them.,22704
672,78404,coco-30k,Three women sitting on a park bench next to each other.,59109
673,258266,coco-30k,A bowl of food sitting on top of a white kitchen counter.,58095
674,187680,coco-30k,A large propeller airplane flying through the sky.,80661
675,308631,coco-30k,People stand around an antique motorcycle in a grassy area.,15645
676,369190,coco-30k,A row of bicycles parked on the sidewalk.,93183
677,427639,coco-30k,a spotted dog sitting underneath the kitchen counter,4285
678,482707,coco-30k,Two nice motorcycles are parked in the grass,35498
679,170630,coco-30k,A woman standing in a kitchen in front of a washing machine.,73905
680,399879,coco-30k,A woman in a red robe is sitting at a dining table.,49544
681,423971,coco-30k,A toilet with an illuminated seat in a restroom.,3459
682,499802,coco-30k,A parade with police officers riding police motorcycles,93019
683,304560,coco-30k,A black ct with green eyes sitting in the sun.,29615
684,117869,coco-30k,A giraffes peaking over a rock with trees in the background.,53386
685,432397,coco-30k,A black and white photograph of a plane with many admirers.,41990
686,292278,coco-30k,A bathroom with a sink under a huge vanity mirror.,73510
687,464534,coco-30k,a view of a bathroom area with a white long flusher and window behind it ,35832
688,553436,coco-30k,Two men and a dog in a kitchen.,27431
689,386766,coco-30k,A marble tiled bathroom with double sinks and wooden cabinets,20627
690,196521,coco-30k,A bathroom has a self standing sink on the wall.,35329
691,479008,coco-30k,A group of passengers sitting on an airplane in flight,52805
692,532686,coco-30k,A white bathroom with a walk in shower and a toilet.,48757
693,361386,coco-30k,A motorcycle is in a parking lot with a helmet on top.,96036
694,32124,coco-30k,A pretty young lady sitting on a sidewalk next to an older man.,27763
695,478120,coco-30k,An ANA airplane as it is taking off.,28525
696,283833,coco-30k,An adorable small dog wearing sunglasses while sitting in a back seat.,13154
697,172285,coco-30k,Two tall giraffe standing next to a green leaf filled tree,78523
698,221708,coco-30k,Lights shine on a wooden dining room table.,29714
699,118097,coco-30k,A man thinks as he stands in front of a sign.,10476
700,412184,coco-30k,An airplane parked in front of a small airport.,93936
701,240565,coco-30k,Three white urinals hanging on a wall in the bathroom.,19141
702,293218,coco-30k,An airplane flies low to the ground near a mountain range.,30198
703,169111,coco-30k,MIXTURE OF FRUITS KEPT IN A BIG BOWL.,6545
704,11721,coco-30k,A golden stoned elevator has a clock above it. ,65507
705,13296,coco-30k,A clown riding a bike down the street,60305
706,241867,coco-30k,A orange and cream colored bus parked outside a small market.,62923
707,490847,coco-30k,A man riding a bike on a dirt path through a forest.,99436
708,88682,coco-30k,A group of people set on the ground talking in a park.,33358
709,559270,coco-30k,"A man, woman and child in an advertisement vehicle for a seafood restaurant.",94799
710,121430,coco-30k,A green motor bike with an odd leather seat sitting on a road.,67529
711,276387,coco-30k,A snow covered soiled toilet sitting in front of a house.,2840
712,195894,coco-30k,A large bedroom with big windows and a patio.,50263
713,434891,coco-30k,A picture of a cat on a bike panted on a garage door.,7950
714,82312,coco-30k,A brown dog standing next to bicycles in front of a store.,85859
715,487181,coco-30k,A young man crossing a street next to bikers.,58935
716,515422,coco-30k,A black and white image of a plane flying over treetops.,36774
717,36492,coco-30k,A large jetliner parked an airport near a passenger loading terminal.,50857
718,16730,coco-30k,A dog sitting in front of a brown wooden door.,88834
719,80017,coco-30k,"A toilet with a blue seat cover with a note that reads "" Please Don't Use Sorry"".",24241
720,509811,coco-30k,A library filled with wooden tables with apple laptop computers on them.,57599
721,484080,coco-30k,A glass vase filled with oranges on a table next to a plate filled with even more oranges.,74553
722,301827,coco-30k,A kitchen with a doorway leading to a laundry room.,17746
723,455943,coco-30k,An airplane high in the sky flying overhead.,9400
724,18975,coco-30k,An airport with large jetliners and a bus traveling on a tarmac.,47268
725,26204,coco-30k,A street filled with lots of traffic next to tall buildings.,2344
726,133002,coco-30k,A man riding a motorcycle with a woman on the back.,45126
727,8292,coco-30k,A narrow kitchen with a refrigerator at the end of it.,74796
728,85576,coco-30k,A commercial bathroom stall with empty toilet paper holders.,59846
729,283190,coco-30k,A kitchen with a white stove and oven.,17934
730,542183,coco-30k,A man standing next to a motorcycle in the middle of a street.,18121
731,409500,coco-30k,A bathroom with the toilet tank high up on the wall.  ,73169
732,443652,coco-30k,A bathroom with a walk in shower next to a toilet.,52846
733,215255,coco-30k,A bathroom with a white sink next to a toilet paper roller.,44773
734,314016,coco-30k,A shelf in a bathroom holding liquor and a book.,79369
735,3466,coco-30k,The man is wearing orange and black shoes.,15450
736,308677,coco-30k,A young man riding a bike through a trail in the woods.,93533
737,35897,coco-30k,A sloping street in a small mountain community.,97054
738,28714,coco-30k,A bicycle resting outside of a building door,73490
739,498350,coco-30k,Motorcycle rider rides a rocky trail in the forest.,75236
740,363286,coco-30k,passengers sitting in the seats aboard an aircraft,63134
741,108838,coco-30k,"People outside a building on a street with a gay crossing, girl with bicycle, and a motorcycle rider with helmut.",51115
742,153217,coco-30k,a black cat standing in front of a motorcycle,51237
743,196415,coco-30k,Old motor bike sitting on display in a museum. ,15051
744,316183,coco-30k,A person with an umbrella is standing by a fountain.,43145
745,48708,coco-30k,A kitchen has a dining table with a lime green chair.,35149
746,98194,coco-30k,Two black and white dogs in front of an abandoned truck in a wooden area. ,2535
747,487338,coco-30k,A girl is holding a paper up over her face as a man is shown behind in a mirror talking on a phone.,15274
748,120340,coco-30k,a man putting his bike on a rack in front of the bus,9045
749,25853,coco-30k,A mountain bike leaned up against a bus stop bench.,1444
750,202573,coco-30k,Clear blue sky's with a plane flying by.,65423
751,575032,coco-30k,A square white sink beneath an elegant mirror,31070
752,381551,coco-30k,a punch of people sitting on park benches,27108
753,319345,coco-30k,A row of motorcycles parked next to each other.,5688
754,62200,coco-30k,Two parking meters on a city street. ,21203
755,567636,coco-30k,A woman standing in a kitchen with her hands clasp together. ,39962
756,460567,coco-30k,"Antelopes, zebras, and giraffes are gathered around the watering hole. ",36926
757,204930,coco-30k,A giraffe standing by itself in the sand.,55799
758,270066,coco-30k,A motorcycle is parked near a puddle and a van.,20707
759,155617,coco-30k,A small bathroom with a checker board  wall.,86039
760,470313,coco-30k,A girl takes a picture of herself in the mirror.,58009
761,276631,coco-30k,A large bowl full of noodles and onions,90378
762,48185,coco-30k,A clean bathroom with black marble counter top.,32965
763,554433,coco-30k,A foot ball fan is showing off his team spirit,39770
764,348708,coco-30k,The banana is laying next to an almost empty bowl.,10876
765,195955,coco-30k,A group of people sitting on a train with lots of luggage.,1778
766,241113,coco-30k,A yellow and green checkered motorcycle parked in front of a store window.,88919
767,79930,coco-30k,"A man, a woman and a child ride a motorbike together in front of a small building.",91417
768,552074,coco-30k,"A dirty bathroom features a toilet with a blue seat, a tub and a waste paper basket.",91373
769,224051,coco-30k,A bike is perched on a concrete girder on the road.,72586
770,163746,coco-30k,A pretty young girl standing next to another pretty young girl on a beach.,80044
771,382122,coco-30k,A large church building with a massive clock tower.,29823
772,93331,coco-30k,A white toilet sitting next to a window in a bathroom.,10644
773,60760,coco-30k,A bathroom with a walk in shower currently under repair.,62867
774,570981,coco-30k,A kitchen filled with dishes and clutter and its sink under repair.,77811
775,367336,coco-30k,A large cathedral with a massive tower in front of a street.,10747
776,183379,coco-30k,Large jetliners parked on an airport tarmac outside of an airport.,77328
777,253986,coco-30k,Two women sitting on benches in an outdoor setting.,77813
778,939,coco-30k,a bathroom wih a big mirror and a tv attached in the corner,44987
779,441695,coco-30k,a group of airplanes waiting on the tarmac,60839
780,110560,coco-30k,A bathroom sink under a mirror in a bathroom.,97131
781,532285,coco-30k,A bike parked on a grass field next to a river.,78278
782,65057,coco-30k,A man with a football being chased by another man.,4092
783,330676,coco-30k,A herd of sheep standing on a dry grass field behind a white fence.,83357
784,531234,coco-30k,A man working on a motorcycle suspended in a garage.,60327
785,372220,coco-30k,A man with white hair and a beard wearing priestly robes.,38111
786,571857,coco-30k,"In the desert, two people are sitting next to a small propeller plane next to a tent with other planes in the background.",53587
787,170041,coco-30k,"A tiled shower, molded plastic bathtub, shelf, mirror, wooden vanity, lamp, and sink make up a beige colored bathroom.",5891
788,243456,coco-30k,Two cats sitting on a  sill looking out the window,70155
789,83049,coco-30k,Two people sitting and laying on top of a park bench.,62904
790,209747,coco-30k,A gray and white kitten sitting in a bathroom sink.,2072
791,160529,coco-30k,An commerical airplane is flying high in the sky,84117
792,127119,coco-30k,A motorcycle parked outside in a parking lot near the beach.,70299
793,358302,coco-30k,A woman gathers the trash in her kitchen.,88220
794,278509,coco-30k,a motorcycle sitting on the sidewalk in the shade,84989
795,575205,coco-30k,A small plane is preparing to land on the strip,11137
796,466118,coco-30k,Bathroom designed to look like a caveman's den. ,43812
797,395978,coco-30k,A large jetliner lading on a runway at an airport.,15934
798,81922,coco-30k,A large jetliner flying over a traffic filled street.,26332
799,318161,coco-30k,Two urinals sitting side by side in a restroom.,36304
800,264121,coco-30k,A motorcycle parked in the middle of a roadway.,59154
801,393659,coco-30k,A bathroom with two sinks and two mirrors.,84634
802,545317,coco-30k,A bathroom with a vanity mirror next to a white toilet.,61649
803,326937,coco-30k,A small black dog watching a flat screen TV.,39507
804,495984,coco-30k,A white toilet sitting in the corner of a bathroom.,38380
805,346904,coco-30k,A bus driving down a road by a building.,28912
806,55955,coco-30k,A sports motorcycle is parked on a gravel road by a river.,14054
807,53431,coco-30k,A man wearing a beret while using a laptop computer.,86250
808,370138,coco-30k,A kitchen with a wooden counter next to an oven with a stove.,37549
809,325958,coco-30k,A person on a motorcycle looks at a sign.,36945
810,246004,coco-30k,A man and a pretty woman sitting together while the woman holds a teddy bear.,59267
811,511145,coco-30k,A man riding a motorcycle on a race track.,50370
812,540354,coco-30k,A bathroom filled with urinals mounted on a wall side by side.,10774
813,99518,coco-30k,A mean leaning against a metal rail next to an airport.,84416
814,17379,coco-30k,a flat screen TV embedded in a restroom mirror.,24524
815,283816,coco-30k,a kitchen with a refrigerator a small table and chairs,44384
816,434060,coco-30k,A herd of sheep grazing in a grass covered field.,7792
817,386313,coco-30k,a bicycle in a living room with a tv,12705
818,55002,coco-30k,A metallic toilet sitting in a small bathroom.,87011
819,263961,coco-30k,A bike leans on a wooden fence on a hill.,6897
820,125870,coco-30k,An airport filled with large passenger jets parked next to each other.,9902
821,432605,coco-30k,A bathroom with an open door and a sink beneath a mirror.,33949
822,210883,coco-30k,A couple of men herding sheep down a road.,26028
823,482382,coco-30k,An overhead view of a man in front of a public toilet.,18503
824,560879,coco-30k,A beach filled with people flying colorful kites,31259
825,210228,coco-30k,Two small planes flying with each other in the sky,24003
826,53484,coco-30k,A red painted wall is against a television.,55882
827,45208,coco-30k,A small black cat sitting on the ground.,24892
828,471858,coco-30k,A middle aged man standing next to a parked motorcycle,25385
